state,date,sex,age,ethnicity,population
Melaka,1/1/2013,both,overall,other_noncitizen,41.6
Melaka,1/1/2014,both,overall,overall,871.7
Melaka,1/1/2014,both,overall,bumi_malay,547.5
Melaka,1/1/2014,both,overall,bumi_other,12.8
Melaka,1/1/2014,both,overall,chinese,214.2
Melaka,1/1/2014,both,overall,indian,49.2
Melaka,1/1/2014,both,overall,other_citizen,4.5
Melaka,1/1/2014,both,overall,other_noncitizen,43.5
Melaka,1/1/2015,both,overall,overall,889
Melaka,1/1/2015,both,overall,bumi_malay,558.8
Melaka,1/1/2015,both,overall,bumi_other,13.7
Melaka,1/1/2015,both,overall,chinese,215.9
Melaka,1/1/2015,both,overall,indian,49.9
Melaka,1/1/2015,both,overall,other_citizen,4.6
Melaka,1/1/2015,both,overall,other_noncitizen,45.9
Melaka,1/1/2016,both,overall,overall,901.1
Melaka,1/1/2016,both,overall,bumi_malay,568.9
Melaka,1/1/2016,both,overall,bumi_other,13.5
Melaka,1/1/2016,both,overall,chinese,216.9
Melaka,1/1/2016,both,overall,indian,50.6
Melaka,1/1/2016,both,overall,other_citizen,4.6
Melaka,1/1/2016,both,overall,other_noncitizen,47
Melaka,1/1/2017,both,overall,overall,913.1
Melaka,1/1/2017,both,overall,bumi_malay,578.8
Melaka,1/1/2017,both,overall,bumi_other,14
Melaka,1/1/2017,both,overall,chinese,216.8
Melaka,1/1/2017,both,overall,indian,50.8
Melaka,1/1/2017,both,overall,other_citizen,4.7
Melaka,1/1/2017,both,overall,other_noncitizen,47.7
Melaka,1/1/2018,both,overall,overall,922.4
Melaka,1/1/2018,both,overall,bumi_malay,586.7
Melaka,1/1/2018,both,overall,bumi_other,14.6
Melaka,1/1/2018,both,overall,chinese,217.2
Melaka,1/1/2018,both,overall,indian,51.1
Melaka,1/1/2018,both,overall,other_citizen,5.1
Melaka,1/1/2018,both,overall,other_noncitizen,47.7
Melaka,1/1/2019,both,overall,overall,928.4
Melaka,1/1/2019,both,overall,bumi_malay,594.5
Melaka,1/1/2019,both,overall,bumi_other,14.9
Melaka,1/1/2019,both,overall,chinese,217.4
Melaka,1/1/2019,both,overall,indian,51.4
Melaka,1/1/2019,both,overall,other_citizen,5.6
Melaka,1/1/2019,both,overall,other_noncitizen,44.6
Melaka,1/1/2020,both,overall,overall,998.4
Melaka,1/1/2020,both,overall,bumi_malay,653.9
Melaka,1/1/2020,both,overall,bumi_other,10.8
Melaka,1/1/2020,both,overall,chinese,205.2
Melaka,1/1/2020,both,overall,indian,52.4
Melaka,1/1/2020,both,overall,other_citizen,5.1
Melaka,1/1/2020,both,overall,other_noncitizen,71.1
Melaka,1/1/2021,both,overall,overall,1004.5
Melaka,1/1/2021,both,overall,bumi_malay,663.1
Melaka,1/1/2021,both,overall,bumi_other,9.5
Melaka,1/1/2021,both,overall,chinese,204.9
Melaka,1/1/2021,both,overall,indian,52.4
Melaka,1/1/2021,both,overall,other_citizen,5.2
Melaka,1/1/2021,both,overall,other_noncitizen,69.3
Melaka,1/1/2022,both,overall,overall,1008.6
Melaka,1/1/2022,both,overall,bumi_malay,669.6
Melaka,1/1/2022,both,overall,bumi_other,9.6
Melaka,1/1/2022,both,overall,chinese,204.3
Melaka,1/1/2022,both,overall,indian,52.4
Melaka,1/1/2022,both,overall,other_citizen,5.2
Melaka,1/1/2022,both,overall,other_noncitizen,67.5
Melaka,1/1/2023,both,overall,overall,1028.3
Melaka,1/1/2023,both,overall,bumi_malay,677
Melaka,1/1/2023,both,overall,bumi_other,9.8
Melaka,1/1/2023,both,overall,chinese,203.8
Melaka,1/1/2023,both,overall,indian,52.4
Melaka,1/1/2023,both,overall,other_citizen,5.2
Melaka,1/1/2023,both,overall,other_noncitizen,80
Melaka,1/1/2024,both,overall,overall,1047.1
Melaka,1/1/2024,both,overall,bumi_malay,684.2
Melaka,1/1/2024,both,overall,bumi_other,9.9
Melaka,1/1/2024,both,overall,chinese,203.4
Melaka,1/1/2024,both,overall,indian,52.5
Melaka,1/1/2024,both,overall,other_citizen,5.3
Melaka,1/1/2024,both,overall,other_noncitizen,91.8
Negeri Sembilan,1/1/2013,both,overall,overall,1072.2
Negeri Sembilan,1/1/2013,both,overall,bumi_malay,591.6
Negeri Sembilan,1/1/2013,both,overall,bumi_other,20.3
Negeri Sembilan,1/1/2013,both,overall,chinese,228.2
Negeri Sembilan,1/1/2013,both,overall,indian,151.7
Negeri Sembilan,1/1/2013,both,overall,other_citizen,3.8
Negeri Sembilan,1/1/2013,both,overall,other_noncitizen,76.9
Negeri Sembilan,1/1/2014,both,overall,overall,1079.6
Negeri Sembilan,1/1/2014,both,overall,bumi_malay,595.9
Negeri Sembilan,1/1/2014,both,overall,bumi_other,20.5
Negeri Sembilan,1/1/2014,both,overall,chinese,229.2
Negeri Sembilan,1/1/2014,both,overall,indian,153.5
Negeri Sembilan,1/1/2014,both,overall,other_citizen,3.9
Negeri Sembilan,1/1/2014,both,overall,other_noncitizen,76.7
Negeri Sembilan,1/1/2015,both,overall,overall,1088.8
Negeri Sembilan,1/1/2015,both,overall,bumi_malay,606.1
Negeri Sembilan,1/1/2015,both,overall,bumi_other,20.6
Negeri Sembilan,1/1/2015,both,overall,chinese,229.1
Negeri Sembilan,1/1/2015,both,overall,indian,152.6
Negeri Sembilan,1/1/2015,both,overall,other_citizen,4
Negeri Sembilan,1/1/2015,both,overall,other_noncitizen,76.1
Negeri Sembilan,1/1/2016,both,overall,overall,1099.3
Negeri Sembilan,1/1/2016,both,overall,bumi_malay,611.5
Negeri Sembilan,1/1/2016,both,overall,bumi_other,21.2
Negeri Sembilan,1/1/2016,both,overall,chinese,229.8
Negeri Sembilan,1/1/2016,both,overall,indian,153.7
Negeri Sembilan,1/1/2016,both,overall,other_citizen,4
Negeri Sembilan,1/1/2016,both,overall,other_noncitizen,79.2
Negeri Sembilan,1/1/2017,both,overall,overall,1114
Negeri Sembilan,1/1/2017,both,overall,bumi_malay,623.6
Negeri Sembilan,1/1/2017,both,overall,bumi_other,21.6
Negeri Sembilan,1/1/2017,both,overall,chinese,229.3
Negeri Sembilan,1/1/2017,both,overall,indian,154.3
Negeri Sembilan,1/1/2017,both,overall,other_citizen,3.7
Negeri Sembilan,1/1/2017,both,overall,other_noncitizen,81.6
Negeri Sembilan,1/1/2018,both,overall,overall,1122.9
Negeri Sembilan,1/1/2018,both,overall,bumi_malay,631.7
Negeri Sembilan,1/1/2018,both,overall,bumi_other,21.2
Negeri Sembilan,1/1/2018,both,overall,chinese,229.4
Negeri Sembilan,1/1/2018,both,overall,indian,154.1
Negeri Sembilan,1/1/2018,both,overall,other_citizen,3.8
Negeri Sembilan,1/1/2018,both,overall,other_noncitizen,83
Negeri Sembilan,1/1/2019,both,overall,overall,1126.2
Negeri Sembilan,1/1/2019,both,overall,bumi_malay,639.6
Negeri Sembilan,1/1/2019,both,overall,bumi_other,20.9
Negeri Sembilan,1/1/2019,both,overall,chinese,229.6
Negeri Sembilan,1/1/2019,both,overall,indian,154
Negeri Sembilan,1/1/2019,both,overall,other_citizen,3.9
Negeri Sembilan,1/1/2019,both,overall,other_noncitizen,78.2
Negeri Sembilan,1/1/2020,both,overall,overall,1200
Negeri Sembilan,1/1/2020,both,overall,bumi_malay,693.3
Negeri Sembilan,1/1/2020,both,overall,bumi_other,23.2
Negeri Sembilan,1/1/2020,both,overall,chinese,248.5
Negeri Sembilan,1/1/2020,both,overall,indian,161.6
Negeri Sembilan,1/1/2020,both,overall,other_citizen,5.7
Negeri Sembilan,1/1/2020,both,overall,other_noncitizen,67.7
Negeri Sembilan,1/1/2021,both,overall,overall,1204.2
Negeri Sembilan,1/1/2021,both,overall,bumi_malay,704.4
Negeri Sembilan,1/1/2021,both,overall,bumi_other,22
Negeri Sembilan,1/1/2021,both,overall,chinese,248.3
Negeri Sembilan,1/1/2021,both,overall,indian,162.4
Negeri Sembilan,1/1/2021,both,overall,other_citizen,5.8
Negeri Sembilan,1/1/2021,both,overall,other_noncitizen,61.3
Negeri Sembilan,1/1/2022,both,overall,overall,1207.9
Negeri Sembilan,1/1/2022,both,overall,bumi_malay,711.9
Negeri Sembilan,1/1/2022,both,overall,bumi_other,22.2
Negeri Sembilan,1/1/2022,both,overall,chinese,247.4
Negeri Sembilan,1/1/2022,both,overall,indian,162.4
Negeri Sembilan,1/1/2022,both,overall,other_citizen,5.8
Negeri Sembilan,1/1/2022,both,overall,other_noncitizen,58.1
Negeri Sembilan,1/1/2023,both,overall,overall,1224.9
Negeri Sembilan,1/1/2023,both,overall,bumi_malay,720
Negeri Sembilan,1/1/2023,both,overall,bumi_other,22.5
Negeri Sembilan,1/1/2023,both,overall,chinese,246.7
Negeri Sembilan,1/1/2023,both,overall,indian,162.9
Negeri Sembilan,1/1/2023,both,overall,other_citizen,5.9
Negeri Sembilan,1/1/2023,both,overall,other_noncitizen,66.8
Negeri Sembilan,1/1/2024,both,overall,overall,1240.1
Negeri Sembilan,1/1/2024,both,overall,bumi_malay,727.5
Negeri Sembilan,1/1/2024,both,overall,bumi_other,22.9
Negeri Sembilan,1/1/2024,both,overall,chinese,246
Negeri Sembilan,1/1/2024,both,overall,indian,163.2
Negeri Sembilan,1/1/2024,both,overall,other_citizen,6
Negeri Sembilan,1/1/2024,both,overall,other_noncitizen,74.5
Pahang,1/1/2013,both,overall,overall,1568.7
Pahang,1/1/2013,both,overall,bumi_malay,1094.6
Pahang,1/1/2013,both,overall,bumi_other,76.6
Pahang,1/1/2013,both,overall,chinese,233.4
Pahang,1/1/2013,both,overall,indian,64.3
Pahang,1/1/2013,both,overall,other_citizen,6.2
Pahang,1/1/2013,both,overall,other_noncitizen,93.1
Pahang,1/1/2014,both,overall,overall,1591.7
Pahang,1/1/2014,both,overall,bumi_malay,1111.7
Pahang,1/1/2014,both,overall,bumi_other,77.8
Pahang,1/1/2014,both,overall,chinese,233
Pahang,1/1/2014,both,overall,indian,64.7
