series,date,state,sector,value(value of GDP in RM millions),,,,,
abs,1/1/2018,Sabah,p0,85012.016,,,,,
abs,1/1/2018,Sabah,p1,13836.318,,,,,
abs,1/1/2018,Sabah,p2,23993.921,,,,,
abs,1/1/2018,Sabah,p3,6513.729,,,,,
abs,1/1/2018,Sabah,p4,2918.088,,,,,
abs,1/1/2018,Sabah,p5,37423.047,,,,,
abs,1/1/2018,Sabah,p6,326.914,,,,,
abs,1/1/2018,Sarawak,p0,133009.823,,,,,
abs,1/1/2018,Sarawak,p1,16614.458,,,,,
abs,1/1/2018,Sarawak,p2,29626.577,,,,,
abs,1/1/2018,Sarawak,p3,35579.068,,,,,
abs,1/1/2018,Sarawak,p4,4402.37,,,,,
abs,1/1/2018,Sarawak,p5,46312.482,,,,,
abs,1/1/2018,Sarawak,p6,474.869,,,,,
abs,1/1/2018,Selangor,p0,323215.439,,,,,
abs,1/1/2018,Selangor,p1,4534.651,,,,,
abs,1/1/2018,Selangor,p2,737.317,,,,,
abs,1/1/2018,Selangor,p3,91132.978,,,,,
abs,1/1/2018,Selangor,p4,18645.768,,,,,
abs,1/1/2018,Selangor,p5,200323.506,,,,,
abs,1/1/2018,Selangor,p6,7841.217,,,,,
abs,1/1/2018,Terengganu,p0,34838.208,,,,,
abs,1/1/2018,Terengganu,p1,2846.927,,,,,
abs,1/1/2018,Terengganu,p2,183.225,,,,,
abs,1/1/2018,Terengganu,p3,13055.539,,,,,
abs,1/1/2018,Terengganu,p4,1161.133,,,,,
abs,1/1/2018,Terengganu,p5,17527.333,,,,,
abs,1/1/2018,Terengganu,p6,64.051,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p0,220358.974,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p1,0,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p2,145.724,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p3,5867.619,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p4,17446.124,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p5,193472.341,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p6,3425.512,,,,,
abs,1/1/2018,W.P. Labuan,p0,7244.941,,,,,
abs,1/1/2018,W.P. Labuan,p1,125.608,,,,,
abs,1/1/2018,W.P. Labuan,p2,0,,,,,
abs,1/1/2018,W.P. Labuan,p3,1364.66,,,,,
abs,1/1/2018,W.P. Labuan,p4,156.064,,,,,
abs,1/1/2018,W.P. Labuan,p5,5480.777,,,,,
abs,1/1/2018,W.P. Labuan,p6,117.831,,,,,
abs,1/1/2019,Johor,p0,134225.938,,,,,
abs,1/1/2019,Johor,p1,16403.246,,,,,
abs,1/1/2019,Johor,p2,812.547,,,,,
abs,1/1/2019,Johor,p3,40124.896,,,,,
abs,1/1/2019,Johor,p4,6699.7,,,,,
abs,1/1/2019,Johor,p5,68576.722,,,,,
abs,1/1/2019,Johor,p6,1608.826,,,,,
abs,1/1/2019,Kedah,p0,46841.199,,,,,
abs,1/1/2019,Kedah,p1,5645.724,,,,,
abs,1/1/2019,Kedah,p2,125.34,,,,,
abs,1/1/2019,Kedah,p3,13429.618,,,,,
abs,1/1/2019,Kedah,p4,1090.383,,,,,
abs,1/1/2019,Kedah,p5,26326.519,,,,,
abs,1/1/2019,Kedah,p6,223.615,,,,,
abs,1/1/2019,Kelantan,p0,25479.178,,,,,
abs,1/1/2019,Kelantan,p1,5813.752,,,,,
abs,1/1/2019,Kelantan,p2,416.804,,,,,
abs,1/1/2019,Kelantan,p3,1300.391,,,,,
abs,1/1/2019,Kelantan,p4,383.135,,,,,
abs,1/1/2019,Kelantan,p5,17535.366,,,,,
abs,1/1/2019,Kelantan,p6,29.729,,,,,
abs,1/1/2019,Melaka,p0,43583.397,,,,,
abs,1/1/2019,Melaka,p1,4433.169,,,,,
abs,1/1/2019,Melaka,p2,67.905,,,,,
abs,1/1/2019,Melaka,p3,16744.806,,,,,
abs,1/1/2019,Melaka,p4,1357.797,,,,,
abs,1/1/2019,Melaka,p5,20917.737,,,,,
abs,1/1/2019,Melaka,p6,61.984,,,,,
abs,1/1/2019,Negeri Sembilan,p0,48033.554,,,,,
abs,1/1/2019,Negeri Sembilan,p1,3556.781,,,,,
abs,1/1/2019,Negeri Sembilan,p2,235.759,,,,,
abs,1/1/2019,Negeri Sembilan,p3,17630.391,,,,,
abs,1/1/2019,Negeri Sembilan,p4,1842.634,,,,,
abs,1/1/2019,Negeri Sembilan,p5,24037.373,,,,,
abs,1/1/2019,Negeri Sembilan,p6,730.616,,,,,
abs,1/1/2019,Pahang,p0,58434.372,,,,,
abs,1/1/2019,Pahang,p1,12849.208,,,,,
abs,1/1/2019,Pahang,p2,819.669,,,,,
abs,1/1/2019,Pahang,p3,12766.618,,,,,
abs,1/1/2019,Pahang,p4,1726.92,,,,,
abs,1/1/2019,Pahang,p5,30217.041,,,,,
abs,1/1/2019,Pahang,p6,54.917,,,,,
abs,1/1/2019,Perak,p0,75992.708,,,,,
abs,1/1/2019,Perak,p1,11312.41,,,,,
abs,1/1/2019,Perak,p2,504.554,,,,,
abs,1/1/2019,Perak,p3,13683.259,,,,,
abs,1/1/2019,Perak,p4,2490.203,,,,,
abs,1/1/2019,Perak,p5,47970.594,,,,,
abs,1/1/2019,Perak,p6,31.687,,,,,
abs,1/1/2019,Perlis,p0,6151.334,,,,,
abs,1/1/2019,Perlis,p1,1333.94,,,,,
abs,1/1/2019,Perlis,p2,33.318,,,,,
abs,1/1/2019,Perlis,p3,470.377,,,,,
abs,1/1/2019,Perlis,p4,166.658,,,,,
abs,1/1/2019,Perlis,p5,4074.923,,,,,
